Ticket #,Type,Open Date,Summary of the Request,Client,Status,Priority,Rank,Res. Assignee,SLA Start,Projected Violation,Change Order,Chg Ord Status,SBM Status,Violation Date,Resource Grp,Client View,Close Date,CS Group,External Ticket,Area,Resolution Code
22827,Incident,5/3/2013 17:01,CBK - Product Coming to warehouse WMS as wrong inventory type,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/9/2013 9:50,,,v11.Fulfillment Related Issues.Reverse Logisitics,
22825,Incident,5/3/2013 16:55,CJB Promotional Code is not applying,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/18/2013 22:01,Clothing.Client Services Ops,,v11.Call Center Related Issues.CSR Webstore,
22824,Incident,5/3/2013 16:20,CBK/CJB - V11 GSI Manager  - Issue with Size Domains,Central Tools Support User,Closed,P3,,,,,,,,,v11 CBK Launch Team,YES,5/20/2013 11:04,,,v11.GSI Manager.Master Catalogs,
22817,Incident,5/3/2013 15:16,"CBKNAQA-3222 Promotional Code is ""Stacking"" with other promotions",CS Clothing,Closed,P3,,"Breslin, Kerri ",,,,,,,v11 CBK Launch Team,YES,5/7/2013 18:25,Clothing.Client Services Ops,,v11.Call Center Related Issues.CSR Webstore,
22816,Incident,5/3/2013 15:05,CBK - Duplicate color options showing for same product in both DCs,Christopher and Banks,Closed,P3,,"Yang, Jack ",,,,,,,v11 CBK Launch Team,NO,6/5/2013 17:19,,,v11.Storefront Related Issues.WebStore Display,
22815,Incident,5/3/2013 14:38,"CBKNAQA-3525  CBKUS - Store Locator Service - Unavailable in Firefox, Degraded in IE, Chrome",Christopher and Banks,Closed,P3,0,"Jadhav, Sameer ",,,,,,,v11 CBK Launch Team,NO,7/19/2013 20:59,,,v11.Storefront Related Issues.WebStore Display,
22812,Incident,5/3/2013 13:40,(JDA) Items not available in Logpro for CBK V11,Sheperdsville,Closed,P3,,"Felix, Chris ",,,,,,,v11 CBK Launch Team,YES,5/16/2013 9:42,,,v11.Fulfillment Related Issues.Operations,
22809,Incident,5/3/2013 13:12,The links in the current Pepperjam affiliate feed have reverted back to v9 links. ,Christopher and Banks,Closed,P3,,"Sriram, Saradha ",,,,,,,v11 CBK Launch Team,NO,7/12/2013 13:43,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22808,Incident,5/3/2013 13:07,CSR webstore cannot be moved to secprd data center,SysOps,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,5/3/2013 16:01,,,v11.Call Center Related Issues.CSR Webstore,
22807,Incident,5/3/2013 12:58,replication queries taking longer that 10000ms,Christopher and Banks,Closed,P3,,"Jain, Ashish ",,,,,,,v11 CBK Launch Team,NO,7/23/2013 16:26,,,v11.GSI Manager.Mass Data Tasks,
22805,Incident,5/3/2013 12:44,CBKNAQA-3200 AOS Free Shipping promos not able to be pushed live.,Christopher and Banks,Closed,P2,,"Jadhav, Sameer ",5/4/2013 16:04,,,,,,v11 CBK Launch Team,YES,5/17/2013 22:39,CBK.TAM,,v11.Call Center Related Issues.AOS,
22797,Incident,5/3/2013 11:51,CBKNAQA-3199 In addition to the issue we fixed with the data fix last night we discovered another issue. The description of that issue is below.,Christopher and Banks,Closed,P3,,"Thota, Rajashekar ",,,,,,,v11 CBK Launch Team,NO,5/18/2013 21:36,CBK.TAM,,v11.Feeds Related Issues.Data Warehouse,
22795,Incident,5/3/2013 11:24,Epiphany can't load CSR Web Store in SEC DC.,Christopher and Banks,Closed,P2,,"Jadhav, Sameer ",,,,,,,v11 CBK Launch Team,NO,5/6/2013 11:00,CBK.TAM,,v11.Call Center Related Issues.GSI Customer Care,
22792,Incident,5/3/2013 11:20,TDF-597 TDF/Vertex returning net negative taxes for a sales order,Christopher and Banks,Closed,P3,,"Sheth, Vaishal ",,,,,,,v11 CBK Launch Team,NO,7/12/2013 13:41,CBK.TAM,,"v11.Integration Related Issues.Taxes,Duties,Fees Svc",
22789,Incident,5/3/2013 11:10,CBKNAQA-3216 - Webstore is allowing failed gift card redemptions to pass through and submitting orders to OMS,Christopher and Banks,Closed,P2,,"Boyd, Colin ",5/3/2013 15:07,,,,,5/7/2013 15:07,v11 CBK Launch Team,NO,5/24/2013 11:03,CBK.TAM,,v11.Storefront Related Issues.Checkout,
22782,Incident,5/3/2013 10:42,"CBK/CJB - Inability to remove promotions after being added to an order, before complete processing of order. ",Christopher and Banks,Closed Unresolved,P3,,"Murack, David ",5/3/2013 15:14,,,,,5/24/2013 15:13,v11 CBK Launch Team,NO,7/12/2013 13:39,Clothing.Client Services Ops,,v11.Call Center Related Issues.CSR Webstore,
22778,Incident,5/3/2013 10:36,Gomez agent failing to fill out billing address on cbk/cjb,SysOps,Closed,P2,,"Snyder, Dave ",,,,,,,v11 CBK Launch Team,NO,5/13/2013 14:45,,,v11.Storefront Related Issues.WebStore Navigation,
