Aris,App.Name,Region,Geographical.Region,Client.Countries,Bus.Area,Functional.Group,Remedy.Support.Queue,Service.entitlement,App.Size,Average.Monthly.Ticket.Volume.Incidents,Average.Monthly.Ticket.Volume..P1,Average.Monthly.Ticket.Volume.P2,Average.Monthly.Ticket.Volume.P3,Average.Monthly.Ticket.Volume.P4,Average.Monthly.Ticket.Volume.Problems,Average.Monthly.Ticket.Volume.CRs,Approx.Number.of.Users,Application.Complexity,Ease.of.Transition,Platform.OS.Type,Database.Type,Comments,Average.MOnthly.Ticket.Volume.Incidents,App.Score,groups
EU-1077,MFG/PRO  EU-1077,EEMEA,EEMEA,Ukraine,Material to Inventory,Integrated Supply Chain,CEEMA Ukraine Kyiv NM On-site,Gold,large,10,0.2,2,7.8,NA,NA,,350,High,,Unix ,Progress 9.1,,10,0.047019627,6
EU-1555,SATURN REL 1.5 EU-1555,Europe,Europe,"Germany, Finland, Belgium, Denmark, Italy, Norway, Sweden, Netherlands, France",Sell to Customer,Front Office,EMEA STC Saturn Siebel Appl Support,Silver,large,10,NA,NA,10,NA,10,,1600,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,10,0.214946868,5
EU-1557,SATURN ANALYTICS EU-1557,Europe,Europe,"Sweden, Norway, Belgium, Finland, Netherlands, Denmark",Sell to Customer,Front Office,EMEA STC Saturn Siebel Appl Support,Silver,large,10,NA,NA,10,NA,10,,200,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,10,0.026868358,5
EU-1559,SATURN REL 2 EU-1559,Europe,Europe,Sweden,Sell to Customer,Front Office,EMEA STC Saturn Siebel Appl Support,Silver,large,10,NA,NA,10,NA,10,,15,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,10,0.002015127,5
EU-1761,PROFIL EU-1761,Europe,Europe,France,Sell to Customer,Front Office,KFE France STC Sales Appl Support,Silver,large,15,NA,NA,15,NA,15,,300,High,,Windows Server,IBM WAS DB2,Based on Remedy 3 month data,15,0.060453807,5
EU-3000,EASY SALES - SFA EU-3000,EEMEA,EEMEA,Morocco,Sell to Customer,Front Office,CEEMA Morocco Service Desk,Gold,large,15,NA,3,5,8,NA,,135,High,risky,Windows Server,MS SQL 2005 / Upgraded to SQL 2008 R2,,15,0.027204213,9
EU-908,SMART EU-908,EEMEA,EEMEA,"Belarus, Ukraine, Kazakhstan, Georgia",Sell to Customer,Front Office,CEEMA Ukraine Kyiv NM On-site,Bronze,large,20,2,6,12,NA,NA,4,255,High,,Windows Server,SQL Server 2005 Ent,,20,0.068514314,2
AP-743,Acumen AP-743,Asia Pacific,Asia Pacific,"New Zealand, Australia",Sell to Customer,Front Office,AP Australia Appl Support,Gold,large,24,NA,0.5,13,10.5,NA,2.5,200,High,,Windows Server,Oracle/Siebel 2003,,24,0.06448406,3
EU-3071,eDistributor EU-3071,EEMEA,EEMEA,Nigeria,Sell to Customer,Front Office,CEEMA Nigeria On-site,Gold,large,40,NA,NA,NA,40,NA,<1,10,High,,Windows Server,MS SQL Server 2008 R2,,40,0.005373672,9
AP-337,DEMANTRA AP-337,Asia Pacific,Asia Pacific,Australia,Plan to Cash,Integrated Supply Chain,AP ANZ Demantra (Infosys),Gold,large,47,NA,0.5,12,34.5,NA,1,50,High,,Windows Server,"Oracle/Siebel
",,47,0.031570321,3
